secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
76,82,145,0.333038,15.754,0,0,-6.2,54.43908600,24.53292000,0,-0.914054,-255,0,-255,0,0,0,0,0,0,0,0
77,82,146,0.337491,15.8924,0,0,-6.1,54.43907600,24.53295900,0,-0.689487,-255,0,-255,0,0,0,0,0,0,0,0
78,82,146,0.341944,16.0309,0,0,-6,54.43906600,24.53299800,0,-0.46492,-255,0,-255,0,0,0,0,0,0,0,0
79,82,147,0.346304,15.9634,0,0,-6,54.43905380,24.53303560,0,-0.46492,-255,0,-255,0,0,0,0,0,0,0,0
80,82,147,0.350663,15.8959,0,0,-6,54.43904160,24.53307320,0,-0.46492,-255,0,-255,0,0,0,0,0,0,0,0
81,82,147,0.355022,15.8284,0,0,-6,54.43902940,24.53311080,0,-0.46492,-255,0,-255,0,0,0,0,0,0,0,0
82,82,147,0.359381,15.7609,0,0,-6,54.43901720,24.53314840,0,-0.282109,-255,0,-255,0,0,0,0,0,0,0,0
83,82,147,0.363741,15.6934,0,0,-6,54.43900500,24.53318600,0,-0.0992987,-255,0,-255,0,0,0,0,0,0,0,0
84,82,147,0.368196,15.8654,0,0,-6,54.43898950,24.53322350,0,0.083512,-255,0,-255,0,0,0,0,0,0,0,0
85,82,147,0.37265,16.0375,0,0,-6,54.43897400,24.53326100,0,0.266323,-255,0,-255,0,0,0,0,0,0,0,0
86,82,148,0.377045,15.9943,0,0,-6.04,54.43895760,24.53329760,0,0.358118,-255,0,-255,0,0,0,0,0,0,0,0
87,82,148,0.38144,15.9511,0,0,-6.08,54.43894120,24.53333420,0,0.0425364,-255,0,-255,0,0,0,0,0,0,0,0
88,82,148,0.385835,15.9079,0,0,-6.12,54.43892480,24.53337080,0,-0.273046,-255,0,-255,0,0,0,0,0,0,0,0
89,82,148,0.39023,15.8647,0,0,-6.16,54.43890840,24.53340740,0,-0.364061,-255,0,-255,0,0,0,0,0,0,0,0
90,82,148,0.394625,15.8215,0,0,-6.2,54.43889200,24.53344400,0,-0.455076,-255,0,-255,0,0,0,0,0,0,0,0
91,82,148,0.399022,15.8266,0,0,-6.2,54.43887400,24.53348000,0,-0.455076,-255,0,-255,0,0,0,0,0,0,0,0
92,82,148,0.40342,15.8316,0,0,-6.2,54.43885600,24.53351600,0,-0.455076,-255,0,-255,0,0,0,0,0,0,0,0
93,82,147,0.407815,15.8293,0,0,-6.2,54.43883760,24.53355180,0,-0.455076,-255,0,-255,0,0,0,0,0,0,0,0
94,82,147,0.412209,15.8269,0,0,-6.2,54.43881920,24.53358760,0,-0.455076,-255,0,-255,0,0,0,0,0,0,0,0
95,82,147,0.416603,15.8246,0,0,-6.2,54.43880080,24.53362340,0,-0.455076,-255,0,-255,0,0,0,0,0,0,0,0
96,82,147,0.420998,15.8223,0,0,-6.2,54.43878240,24.53365920,0,-0.364061,-255,0,-255,0,0,0,0,0,0,0,0
97,82,147,0.425392,15.8199,0,0,-6.2,54.43876400,24.53369500,0,-0.273046,-255,0,-255,0,0,0,0,0,0,0,0
98,82,148,0.429781,15.8131,0,0,-6.33333,54.43874467,24.53373033,0,-0.48584,-255,0,-255,0,0,0,0,0,0,0,0
99,82,148,0.43417,15.8062,0,0,-6.46667,54.43872533,24.53376567,0,-0.698634,-255,0,-255,0,0,0,0,0,0,0,0
100,82,148,0.438558,15.7994,0,0,-6.6,54.43870600,24.53380100,0,-0.911428,-255,0,-255,0,0,0,0,0,0,0,0
101,83,149,0.442923,15.7822,0,0,-6.64,54.43868880,24.53383700,0,-1.00307,-255,0,-255,0,0,0,0,0,0,0,0
102,83,149,0.447288,15.7649,0,0,-6.68,54.43867160,24.53387300,0,-1.09471,-255,0,-255,0,0,0,0,0,0,0,0
103,83,149,0.451653,15.7477,0,0,-6.72,54.43865440,24.53390900,0,-1.18636,-255,0,-255,0,0,0,0,0,0,0,0
104,83,149,0.456018,15.7305,0,0,-6.76,54.43863720,24.53394500,0,-1.278,-255,0,-255,0,0,0,0,0,0,0,0
105,83,149,0.460382,15.7132,0,0,-6.8,54.43862000,24.53398100,0,-1.36964,-255,0,-255,0,0,0,0,0,0,0,0
106,82,148,0.464786,15.7605,0,0,-6.73333,54.43860267,24.53401733,0,-1.21827,-255,0,-255,0,0,0,0,0,0,0,0
107,82,148,0.469191,15.8077,0,0,-6.66667,54.43858533,24.53405367,0,-1.0669,-255,0,-255,0,0,0,0,0,0,0,0
108,82,148,0.473595,15.8549,0,0,-6.6,54.43856800,24.53409000,0,-0.611715,-255,0,-255,0,0,0,0,0,0,0,0
109,82,148,0.47789,15.7767,0,0,-6.64,54.43855260,24.53412600,0,-0.401027,-255,0,-255,0,0,0,0,0,0,0,0
110,82,148,0.482186,15.6984,0,0,-6.68,54.43853720,24.53416200,0,-0.19034,-255,0,-255,0,0,0,0,0,0,0,0
111,82,148,0.486481,15.6201,0,0,-6.72,54.43852180,24.53419800,0,-0.191819,-255,0,-255,0,0,0,0,0,0,0,0
112,82,148,0.490777,15.5419,0,0,-6.76,54.43850640,24.53423400,0,-0.193298,-255,0,-255,0,0,0,0,0,0,0,0
113,82,148,0.495072,15.4636,0,0,-6.8,54.43849100,24.53427000,0,-0.194777,-255,0,-255,0,0,0,0,0,0,0,0
