secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
664,81,173,2.81251,14.9862,0,0,-4.4,54.33096120,24.41696600,0,0.28839,-255,0,-255,0,0,0,0,0,0,0,0
665,81,173,2.81675,15.0891,0,0,-4.4,54.33100280,24.41696100,0,0.19226,-255,0,-255,0,0,0,0,0,0,0,0
666,81,173,2.821,15.1919,0,0,-4.4,54.33104440,24.41695600,0,0.0961301,-255,0,-255,0,0,0,0,0,0,0,0
667,81,173,2.82525,15.2947,0,0,-4.4,54.33108600,24.41695100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
668,82,172,2.82949,15.2845,0,0,-4.36,54.33112780,24.41694980,0,0.0944656,-255,0,-255,0,0,0,0,0,0,0,0
669,82,172,2.83372,15.2743,0,0,-4.32,54.33116960,24.41694860,0,0.188931,-255,0,-255,0,0,0,0,0,0,0,0
670,82,172,2.83795,15.2641,0,0,-4.28,54.33121140,24.41694740,0,0.283397,-255,0,-255,0,0,0,0,0,0,0,0
671,82,172,2.84219,15.2539,0,0,-4.24,54.33125320,24.41694620,0,0.377862,-255,0,-255,0,0,0,0,0,0,0,0
672,82,172,2.84642,15.2436,0,0,-4.2,54.33129500,24.41694500,0,0.472328,-255,0,-255,0,0,0,0,0,0,0,0
673,81,172,2.85061,15.2131,0,0,-4.24,54.33133640,24.41694460,0,0.376908,-255,0,-255,0,0,0,0,0,0,0,0
674,81,172,2.85481,15.1826,0,0,-4.28,54.33137780,24.41694420,0,0.281487,-255,0,-255,0,0,0,0,0,0,0,0
675,81,172,2.859,15.1521,0,0,-4.32,54.33141920,24.41694380,0,0.186067,-255,0,-255,0,0,0,0,0,0,0,0
676,81,172,2.86319,15.1216,0,0,-4.36,54.33146060,24.41694340,0,0.0906467,-255,0,-255,0,0,0,0,0,0,0,0
677,81,172,2.86738,15.0911,0,0,-4.4,54.33150200,24.41694300,0,0,-255,0,-255,0,0,0,0,0,0,0,0
678,82,173,2.87171,15.1876,0,0,-4.4,54.33154440,24.41693820,0,-0.0992393,-255,0,-255,0,0,0,0,0,0,0,0
679,82,173,2.87603,15.2842,0,0,-4.4,54.33158680,24.41693340,0,-0.193705,-255,0,-255,0,0,0,0,0,0,0,0
680,82,173,2.88036,15.3807,0,0,-4.4,54.33162920,24.41692860,0,-0.28817,-255,0,-255,0,0,0,0,0,0,0,0
681,82,173,2.88469,15.4772,0,0,-4.4,54.33167160,24.41692380,0,-0.382636,-255,0,-255,0,0,0,0,0,0,0,0
682,82,173,2.88901,15.5738,0,0,-4.4,54.33171400,24.41691900,0,-0.477102,-255,0,-255,0,0,0,0,0,0,0,0
683,82,172,2.89313,15.4198,0,0,-4.36,54.33175460,24.41692000,0,-0.284411,-255,0,-255,0,0,0,0,0,0,0,0
684,82,172,2.89724,15.2659,0,0,-4.32,54.33179520,24.41692100,0,-0.0917202,-255,0,-255,0,0,0,0,0,0,0,0
685,82,172,2.90135,15.112,0,0,-4.28,54.33183580,24.41692200,0,0.100971,-255,0,-255,0,0,0,0,0,0,0,0
686,82,172,2.90546,14.958,0,0,-4.24,54.33187640,24.41692300,0,0.293661,-255,0,-255,0,0,0,0,0,0,0,0
687,82,172,2.90957,14.8041,0,0,-4.2,54.33191700,24.41692400,0,0.486352,-255,0,-255,0,0,0,0,0,0,0,0
688,81,171,2.91383,14.9726,0,0,-4.26667,54.33195900,24.41692433,0,0.329587,-255,0,-255,0,0,0,0,0,0,0,0
689,81,171,2.91808,15.1411,0,0,-4.33333,54.33200100,24.41692467,0,0.172822,-255,0,-255,0,0,0,0,0,0,0,0
690,81,171,2.92233,15.3096,0,0,-4.4,54.33204300,24.41692500,0,0.0160576,-255,0,-255,0,0,0,0,0,0,0,0
691,82,172,2.92661,15.3244,0,0,-4.4,54.33208520,24.41692440,0,0.0160576,-255,0,-255,0,0,0,0,0,0,0,0
692,82,172,2.93088,15.3392,0,0,-4.4,54.33212740,24.41692380,0,0.0160576,-255,0,-255,0,0,0,0,0,0,0,0
