secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
74,82,157,0.335454,16.4174,0,0,11.64,54.43718100,24.52632580,0,-0.0988557,-255,0,-255,0,0,0,0,0,0,0,0
75,82,157,0.339997,16.3862,0,0,11.52,54.43714600,24.52635140,0,-0.581683,-255,0,-255,0,0,0,0,0,0,0,0
76,82,157,0.34454,16.355,0,0,11.4,54.43711100,24.52637700,0,-0.640966,-255,0,-255,0,0,0,0,0,0,0,0
77,82,157,0.349236,16.6298,0,0,11.4,54.43707400,24.52640250,0,-0.43611,-255,0,-255,0,0,0,0,0,0,0,0
78,82,157,0.353931,16.9046,0,0,11.4,54.43703700,24.52642800,0,-0.884622,-255,0,-255,0,0,0,0,0,0,0,0
79,82,156,0.358365,16.4331,0,0,11.3,54.43700200,24.52645200,0,-1.25552,-255,0,-255,0,0,0,0,0,0,0,0
80,82,156,0.362799,15.9615,0,0,11.2,54.43696700,24.52647600,0,-1.62642,-255,0,-255,0,0,0,0,0,0,0,0
81,82,156,0.367314,16.0202,0,0,11.2,54.43693200,24.52650120,0,-1.77178,-255,0,-255,0,0,0,0,0,0,0,0
82,82,156,0.37183,16.079,0,0,11.2,54.43689700,24.52652640,0,-1.50764,-255,0,-255,0,0,0,0,0,0,0,0
83,82,156,0.376345,16.1377,0,0,11.2,54.43686200,24.52655160,0,-1.2435,-255,0,-255,0,0,0,0,0,0,0,0
84,82,156,0.38086,16.1964,0,0,11.2,54.43682700,24.52657680,0,-0.979364,-255,0,-255,0,0,0,0,0,0,0,0
85,82,156,0.385375,16.2551,0,0,11.2,54.43679200,24.52660200,0,-0.715225,-255,0,-255,0,0,0,0,0,0,0,0
86,82,155,0.389883,16.2413,0,0,11.3,54.43675650,24.52662650,0,-0.229239,-255,0,-255,0,0,0,0,0,0,0,0
87,82,155,0.394391,16.2274,0,0,11.4,54.43672100,24.52665100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
88,82,153,0.39865,16.049,0,0,11.4,54.43668700,24.52667360,0,0,-255,0,-255,0,0,0,0,0,0,0,0
89,82,153,0.40291,15.8705,0,0,11.4,54.43665300,24.52669620,0,0.21815,-255,0,-255,0,0,0,0,0,0,0,0
90,82,153,0.40717,15.692,0,0,11.4,54.43661900,24.52671880,0,0.443693,-255,0,-255,0,0,0,0,0,0,0,0
91,82,153,0.41143,15.5135,0,0,11.4,54.43658500,24.52674140,0,0.443693,-255,0,-255,0,0,0,0,0,0,0,0
92,82,153,0.415689,15.335,0,0,11.4,54.43655100,24.52676400,0,0.443693,-255,0,-255,0,0,0,0,0,0,0,0
93,82,152,0.420053,15.5216,0,0,11.4,54.43651050,24.52677750,0,0.443693,-255,0,-255,0,0,0,0,0,0,0,0
94,82,152,0.424416,15.7082,0,0,11.4,54.43647000,24.52679100,0,0.443693,-255,0,-255,0,0,0,0,0,0,0,0
95,81,151,0.428532,15.4851,0,0,11.45,54.43642950,24.52678750,0,0.565185,-255,0,-255,0,0,0,0,0,0,0,0
96,81,151,0.432647,15.262,0,0,11.5,54.43638900,24.52678400,0,0.464831,-255,0,-255,0,0,0,0,0,0,0,0
97,81,151,0.436763,15.0389,0,0,11.55,54.43634850,24.52678050,0,0.364477,-255,0,-255,0,0,0,0,0,0,0,0
98,81,151,0.440878,14.8157,0,0,11.6,54.43630800,24.52677700,0,0.48597,-255,0,-255,0,0,0,0,0,0,0,0
99,82,149,0.445479,15.165,0,0,11.56,54.43627080,24.52675320,0,0.399024,-255,0,-255,0,0,0,0,0,0,0,0
100,82,149,0.450079,15.5143,0,0,11.52,54.43623360,24.52672940,0,0.312079,-255,0,-255,0,0,0,0,0,0,0,0
101,82,149,0.45468,15.8636,0,0,11.48,54.43619640,24.52670560,0,0.225133,-255,0,-255,0,0,0,0,0,0,0,0
102,82,149,0.45928,16.2128,0,0,11.44,54.43615920,24.52668180,0,0.138188,-255,0,-255,0,0,0,0,0,0,0,0
103,82,149,0.463881,16.5621,0,0,11.4,54.43612200,24.52665800,0,0.0512423,-255,0,-255,0,0,0,0,0,0,0,0
104,82,146,0.468547,16.6207,0,0,11.4,54.43609925,24.52662150,0,0.0512423,-255,0,-255,0,0,0,0,0,0,0,0
105,82,146,0.473212,16.6793,0,0,11.4,54.43607650,24.52658500,0,-0.0702501,-255,0,-255,0,0,0,0,0,0,0,0
106,82,146,0.477878,16.738,0,0,11.4,54.43605375,24.52654850,0,-0.191742,-255,0,-255,0,0,0,0,0,0,0,0
107,82,146,0.482544,16.7966,0,0,11.4,54.43603100,24.52651200,0,-0.313235,-255,0,-255,0,0,0,0,0,0,0,0
108,82,146,0.48694,15.8268,0,0,11.6,54.43601900,24.52647400,0,0.0201977,-255,0,-255,0,0,0,0,0,0,0,0
109,82,146,0.491502,16.421,0,0,10,54.43600900,24.52643400,0,-3.40056,-255,0,-255,0,0,0,0,0,0,0,0
110,82,148,0.495833,16.2138,0,0,9.8,54.43601550,24.52639550,0,-3.77538,-255,0,-255,0,0,0,0,0,0,0,0
111,82,148,0.500164,16.0067,0,0,9.6,54.43602200,24.52635700,0,-4.1502,-255,0,-255,0,0,0,0,0,0,0,0
112,82,148,0.504495,15.7995,0,0,9.4,54.43602850,24.52631850,0,-4.52502,-255,0,-255,0,0,0,0,0,0,0,0
113,82,148,0.508826,15.5924,0,0,9.2,54.43603500,24.52628000,0,-4.89984,-255,0,-255,0,0,0,0,0,0,0,0
114,82,147,0.51331,16.1397,0,0,8.8,54.43605700,24.52624500,0,-5.79205,-255,0,-255,0,0,0,0,0,0,0,0
115,82,147,0.517615,15.9793,0,0,8.75,54.43608750,24.52621800,0,-5.90819,-255,0,-255,0,0,0,0,0,0,0,0
116,82,147,0.52192,15.8189,0,0,8.7,54.43611800,24.52619100,0,-6.02434,-255,0,-255,0,0,0,0,0,0,0,0
117,82,147,0.526225,15.6586,0,0,8.65,54.43614850,24.52616400,0,-6.14048,-255,0,-255,0,0,0,0,0,0,0,0
118,82,147,0.53053,15.4982,0,0,8.6,54.43617900,24.52613700,0,-6.71154,-255,0,-255,0,0,0,0,0,0,0,0
119,82,146,0.535659,16.2398,0,0,8.8,54.43621950,24.52610925,0,-2.81391,-255,0,-255,0,0,0,0,0,0,0,0
120,82,146,0.540788,16.9814,0,0,9,54.43626000,24.52608150,0,-1.96221,-255,0,-255,0,0,0,0,0,0,0,0
121,82,146,0.545917,17.723,0,0,9.2,54.43630050,24.52605375,0,-1.11051,-255,0,-255,0,0,0,0,0,0,0,0
122,82,146,0.551046,18.4646,0,0,9.4,54.43634100,24.52602600,0,-0.258806,-255,0,-255,0,0,0,0,0,0,0,0
